"Time","CPU","WorkingSet","PrivateBytes","Threads"
"2026-09-11T06:02:47.4477709Z","3.984375","26947584","14864384","10"
"2026-09-11T06:02:48.4848097Z","4","27009024","14917632","10"
"2026-09-11T06:02:49.4930065Z","4","26890240","14798848","10"
"2026-09-11T06:02:50.4989569Z","4","26841088","14749696","10"
"2026-09-11T06:02:51.5055847Z","4","26951680","14860288","10"
"2026-09-11T06:02:52.5117768Z","4","27004928","14905344","10"
"2026-09-11T06:02:53.5178571Z","4.015625","26976256","14872576","10"
"2026-09-11T06:02:54.5244845Z","4.015625","26910720","14807040","10"
"2026-09-11T06:02:55.5298303Z","4.03125","26984448","14938112","10"
"2026-09-11T06:02:56.5355867Z","4.03125","26951680","14905344","10"
"2026-09-11T06:02:57.5403427Z","4.046875","27017216","14970880","10"
"2026-09-11T06:02:58.5467775Z","4.078125","26972160","14925824","10"
"2026-09-11T06:02:59.5537247Z","4.09375","26972160","14905344","10"
"2026-09-11T06:03:00.5593810Z","4.09375","27029504","14962688","10"
"2026-09-11T06:03:01.5655177Z","4.125","26886144","14811136","10"
"2026-09-11T06:03:02.5713853Z","4.125","26894336","14811136","10"
"2026-09-11T06:03:03.5773144Z","4.125","26959872","14876672","10"
"2026-09-11T06:03:04.5827182Z","4.15625","26902528","14811136","10"
"2026-09-11T06:03:05.5880060Z","4.171875","27000832","14909440","10"
"2026-09-11T06:03:06.5931133Z","4.1875","26980352","14876672","10"
"2026-09-11T06:03:07.5987900Z","4.203125","26947584","14843904","10"
"2026-09-11T06:03:08.6045066Z","4.25","26947584","14843904","10"
"2026-09-11T06:03:09.6098497Z","4.28125","26918912","14815232","10"
"2026-09-11T06:03:10.6144953Z","4.28125","27000832","14897152","10"
"2026-09-11T06:03:11.6222490Z","4.28125","27009024","14962688","10"
"2026-09-11T06:03:12.7494946Z",,,,"0"
"2026-09-11T06:03:13.7557660Z",,,,"0"
"2026-09-11T06:03:14.7572377Z",,,,"0"
"2026-09-11T06:03:15.7599122Z",,,,"0"
"2026-09-11T06:03:16.7614299Z",,,,"0"
